time,yaw,pitch,gaze_x,gaze_y,face_pred,eye_pred,fusion_pred
0.26342201232910156,0.0497438907623291,0.16671258211135864,6.083771586418152e-05,-0.006358116865158081,0,1,0
0.38837194442749023,0.047912418842315674,0.1666988730430603,0.0006219372153282166,-0.005622610449790955,0,1,0
0.4566080570220947,0.049071550369262695,0.16744118928909302,0.0014197975397109985,-0.005465671420097351,0,0,0
0.5213251113891602,0.04946237802505493,0.16760432720184326,0.0013558082282543182,-0.005675032734870911,0,0,0
0.600862979888916,0.04955083131790161,0.166950523853302,0.0010924115777015686,-0.005582213401794434,0,0,0
0.6894509792327881,0.04960215091705322,0.16927599906921387,0.0008923076093196869,-0.007607907056808472,0,0,0
0.7556259632110596,0.050454914569854736,0.1700906753540039,0.0006379261612892151,-0.0070140063762664795,1,0,1
0.8271830081939697,0.04935407638549805,0.1672666072845459,0.00041303783655166626,-0.007306046783924103,0,0,0
0.8928649425506592,0.05075538158416748,0.16876471042633057,0.00019928812980651855,-0.007642276585102081,1,0,1
0.959636926651001,0.050590693950653076,0.16895508766174316,-2.2836029529571533e-06,-0.0073356106877326965,1,0,1
1.02656888961792,0.05037134885787964,0.166428804397583,2.627447247505188e-05,-0.007305420935153961,1,0,1
1.0937950611114502,0.048664093017578125,0.16478025913238525,0.0003194473683834076,-0.007184304296970367,0,1,0
1.1597330570220947,0.048861920833587646,0.16344869136810303,0.00022740289568901062,-0.007330708205699921,0,0,0
1.2259671688079834,0.04762434959411621,0.1629643440246582,0.00021176040172576904,-0.007555939257144928,0,0,0
1.2934887409210205,0.04640471935272217,0.16251009702682495,0.00013561174273490906,-0.007284283638000488,0,1,0
1.3599700927734375,0.045970916748046875,0.16267037391662598,0.00037131085991859436,-0.007620915770530701,0,0,0
1.4266760349273682,0.04507410526275635,0.16256356239318848,0.00011242181062698364,-0.007477492094039917,0,0,0
1.4934520721435547,0.04409515857696533,0.16319799423217773,0.00015398859977722168,-0.007518790662288666,0,0,0
1.559818983078003,0.0438084602355957,0.16226714849472046,0.0001739710569381714,-0.007491506636142731,0,0,0
1.6268000602722168,0.044741034507751465,0.16363543272018433,8.351355791091919e-05,-0.007074303925037384,0,1,0
1.692746877670288,0.04242581129074097,0.16232484579086304,0.0003296956419944763,-0.0072019100189208984,0,1,0
1.7599599361419678,0.042804837226867676,0.16238677501678467,0.00014687329530715942,-0.007251180708408356,0,1,0
1.82818603515625,0.04323393106460571,0.16204673051834106,0.00016450881958007812,-0.007227003574371338,0,1,0
1.8938517570495605,0.042690813541412354,0.1622369885444641,0.0006519109010696411,-0.006484732031822205,0,1,0
1.9610228538513184,0.04153406620025635,0.16254538297653198,0.002145707607269287,-0.004769615828990936,0,0,0
2.0272607803344727,0.04114764928817749,0.15909743309020996,0.0030641183257102966,-0.006016336381435394,0,0,0
2.093798875808716,0.04111593961715698,0.157181978225708,0.000490088015794754,-0.007323019206523895,0,0,0
2.1612820625305176,0.04083305597305298,0.15798819065093994,0.0010600201785564423,-0.008128896355628967,0,0,0
2.226634979248047,0.04072880744934082,0.1572452187538147,0.0007493719458580017,-0.008536763489246368,0,0,0
2.2941229343414307,0.03983229398727417,0.15560626983642578,0.0008885301649570465,-0.008297987282276154,0,0,0
2.359602928161621,0.04074150323867798,0.15394234657287598,0.0007060393691062927,-0.008498325943946838,0,0,0
2.425140857696533,0.04070937633514404,0.1545354723930359,0.0007591806352138519,-0.00833660364151001,0,0,0
2.492202043533325,0.04096716642379761,0.15438508987426758,0.0006550177931785583,-0.008378453552722931,0,0,0
2.55915904045105,0.04210519790649414,0.15625983476638794,0.0005536675453186035,-0.008374005556106567,0,0,0
2.626279830932617,0.03957498073577881,0.15550708770751953,0.0005641207098960876,-0.008324399590492249,0,0,0
2.6924829483032227,0.031919121742248535,0.15492385625839233,0.00038674846291542053,-0.005836419761180878,0,0,0
2.7592389583587646,0.018146395683288574,0.1501259207725525,0.0004750974476337433,-0.005652494728565216,0,1,0
2.8262720108032227,0.005947768688201904,0.14996212720870972,0.0015728399157524109,-0.0071609243750572205,0,0,0
2.892336845397949,-0.005053609609603882,0.15082645416259766,0.0018355324864387512,-0.007022738456726074,0,0,0
2.9593191146850586,-0.01025378704071045,0.1520208716392517,0.0020893514156341553,-0.007047690451145172,0,0,0
3.0254509449005127,-0.011667340993881226,0.14845067262649536,0.0018434152007102966,-0.007715366780757904,0,0,0
3.092427968978882,-0.010689109563827515,0.14956188201904297,0.0019892677664756775,-0.008031897246837616,0,0,0
3.160001039505005,-0.010955840349197388,0.1488780379295349,0.002012684941291809,-0.008212685585021973,0,0,0
3.2263150215148926,-0.010952085256576538,0.14957427978515625,0.0020592324435710907,-0.008403286337852478,0,0,0
3.2934608459472656,-0.009202122688293457,0.14828509092330933,0.0023280568420886993,-0.007860526442527771,0,0,0
3.3596389293670654,-0.004966288805007935,0.14868003129959106,0.0025591030716896057,-0.00822923332452774,0,0,0
3.4264488220214844,0.002356410026550293,0.15091508626937866,0.002754751592874527,-0.008470304310321808,0,0,0
3.4941728115081787,0.011306464672088623,0.1541919708251953,0.0009713843464851379,-0.008337952196598053,0,0,0
3.559464931488037,0.017211079597473145,0.15190410614013672,0.001275382936000824,-0.007450520992279053,0,0,0
3.6271109580993652,0.022303521633148193,0.15054422616958618,0.00022204220294952393,-0.0068556517362594604,0,1,0
3.6936769485473633,0.024206101894378662,0.1516459584236145,0.0006005577743053436,-0.006297379732131958,0,0,0
3.757567882537842,0.025612354278564453,0.15102171897888184,0.0002982728183269501,-0.006827615201473236,0,1,0
